Formula,Tc,Materials_family
Nd1Fe1As1O0.89F0.11,49.05,iron-based
Ba1.6Sr0.4Yb0.65Ca0.35Cu3O6.15,49,cuprate
Pr0.125Ca0.875Fe2As2,49,iron-based
Ca1La1Ba1Cu2.97Fe0.03O7,49,cuprate
Pb0.5Cd0.5Sr1.5Ba0.5Ca0.5Y0.5Cu2O7,49,cuprate
Sm1Ba2Cu2.92Zn0.08O6.85,49,cuprate
Tl0.7Bi0.3Sr4Cu2C1O10,49,cuprate
Tl1.89Ba2Cu1.11O6.18,49,cuprate
Tl1Sr2Ba2Cu2C2.4N0.6O7,49,cuprate
Tl1Sr2Ba2Cu2C2.7N0.3O7,49,cuprate
Y0.6Pr0.4Ba0.6Sr1.4Cu3O6.89,49,cuprate
Y0.6Pr0.4Ba0.8Sr1.2Cu3O6.89,49,cuprate
Y1Ba2Cu2.8Fe0.2O6.93,49,cuprate
Y1Sr2Cu2.75Re0.25O7.3,49,cuprate
Ba1.6Sr0.4Yb1Cu3O6.69,48.9,cuprate
C0.51Sr2Ca0.5Y0.5Cu2.42O6.92,48.9,cuprate
Sm0.89Th0.11Fe1As1O1,48.9,iron-based
Y1La0.2Ba1.8Cu3O7.06,48.9,cuprate
Y1Ba1.9La0.1Cu3.972Zn0.028O8,48.7,cuprate
Bi1.8Pb0.2Sr2Ca1Cu1.94Co0.06O8,48.6,cuprate
Ca0.6Nd0.4Ba1La1Cu3O7.1,48.6,cuprate
Bi1.8Pb0.2Sr2Ca1Cu1.96Fe0.04O8,48.5,cuprate
La3Ca0.4Cd0.6Ba3Cu7O16.336,48.5,cuprate
Gd1Fe1As1O0.8F0.2,48.35,iron-based
Nd0.9Pr0.1Ba2Cu3O6.85,48.3,cuprate
Yb0.7Ca0.3Ba1.6Sr0.4Cu3O6.1,48.3,cuprate
Pr1Fe1As1O0.85,48.2,iron-based
Bi2Sr2Ca0.57Pr0.43Cu2O8,48,cuprate
Bi2Sr2Ca0.7Gd0.3Cu2O8,48,cuprate
Ce1H0.21Fe1As1O0.79,48,iron-based
Ce1H0.22Fe1As1O0.78,48,iron-based
Cu2Ba1.6Sr0.4Yb0.65Ca0.35O6.15,48,cuprate
Er0.64Ca0.36Ba1.4Sr0.6Cu2.76Co0.24O6.8,48,cuprate
Gd1.15Ba1.85Cu3O6.99,48,cuprate
Hg1Ba2Cu1O4.033,48,cuprate
La1.3Ba1.5Ca0.2Cu3O6.72,48,cuprate
La3.1Gd0.2Ca0.4Ba3.3Cu7O16.473,48,cuprate
Lu0.8Ca0.2Ba2Cu3O6.91,48,cuprate
Nd1.6Pr0.4Ba4Cu7O14.603,48,cuprate
Tl1Sr1.6Cr0.4Cu1O5,48,cuprate
Y1Ba2Cu2.95Zn0.05O6.75,48,cuprate
Y1Ba2Cu3H0.16O6.54,47.9,cuprate
Fe0.5Ba1Sr1Er1Cu2.5O7.439,47.8,cuprate
La1.75Ca1.25Cu2O5.99,47.7,cuprate
La1.7Pr0.3Ca0.6Ba2Cu4.6O10.8862,47.6,cuprate
Nd1.2Ba1.8Cu3O6.91,47.6,cuprate
Y1Ba2Cu2.85Zn0.15O6.85,47.6,cuprate
La1.85Sr0.15Ca1Cu2O6.03,47.5,cuprate
Nd1Fe1As1O0.94F0.06,47.5,iron-based
Y0.72Ca0.28Ba2Cu3O6,47.5,cuprate
Y0.7Pr0.3Ba2Cu3O6.88,47.5,cuprate
Y1Ba2Cu2.94Ni0.06O6.7,47.4,cuprate
Bi2Sr2Ca1Cu2O8.329,47.3,cuprate
Y1Ba2Cu3H0.31O6.54,47.3,cuprate
Y1Ba2Cu3.95Zn0.05O8,47.25,cuprate
Bi2Sr2Ca1Cu2O8.373,47.2,cuprate
La0.12Ca0.88Fe1As1.8Sb0.2,47.2,iron-based
Ce1D0.3Fe1As1O0.7,47.2,iron-based
Y1Ba1.8La0.2Cu3O6.8,47.2,cuprate
Y1Ba2Cu2.7Zn0.3O6.92,47.2,cuprate
Ca0.4Ba1.25La1.35Cu3O7.11,47.1,cuprate
Ba1.6Sr0.4Yb0.6Ca0.4Cu3O6.04,47,cuprate
Ba1.6Sr0.4Yb1Cu3O6.64,47,cuprate
C1Ca3Cu2O7.1,47,cuprate
Ca1Ba1La1Cu3O7,47,cuprate
Ce1Fe1As1O0.89F0.11,47,iron-based
Cu2C0.75Ca3O6.85,47,cuprate
Ga1Sr2Tm0.65Ca0.35Cu2O7,47,cuprate
La0.6Ca0.2Pr0.2Ba1.5Sr0.5Cu3O6.809,47,cuprate
La2.1Yb0.2Ba2.1Ca0.4Cu5O11.802,47,cuprate
Lu0.6Pr0.4Ba1.7Sr0.3Cu3O6.91,47,cuprate
Pb2Sr2Y0.85Ca0.15Cu3O8,47,cuprate
Sm0.9U0.1Fe1As1O1,47,iron-based
Sm1.2Ba1.8Cu3O6.965,47,cuprate
Sm1Ba2Cu2.8Fe0.2O6.96,47,cuprate
Tl2Ba2Cu1O6.05,47,cuprate
Y0.6Ca0.4Ba1.1La0.9Cu3O7.18,47,cuprate
Y0.6Pr0.4Ba1.8Sr0.2Cu3O6.85,47,cuprate
Y0.6Pr0.4Ba2Cu3O6.88,47,cuprate
Y1Ba2Cu2.94Fe0.06H0.4O7,47,cuprate
Y1Ba2Cu3.938Zn0.062O8,47,cuprate
Y1Sr0.6Ba1.4Cu2.5B0.5O7,47,cuprate
Nd1Fe1As1O0.9,46.9,iron-based
Sm1Fe1P0.05As0.95O0.88F0.12,46.8,iron-based
Nd1Ru0.02Fe0.98As1O0.89F0.11,46.6,iron-based
Ba1.6Sr0.4Yb0.6Ca0.4Cu3O6.14,46.5,cuprate
Bi4Sr3Ca2Tm1Cu4O16.73,46.5,cuprate
Ca0.3Ba1.45La1.25Cu3O7.05,46.4,cuprate
Pr1Fe1As1O0.846F0.154,46.4,iron-based
Sm1H0.4Fe1As1O0.6,46.4,iron-based
Pr1Fe1As1O0.7,46.25,iron-based
Ca0.2Ba1.55La1.25Cu3O7.07,46.1,cuprate
Ce1Fe1As1O0.7F0.3,46,iron-based
Er1Ba2Cu2.78Zn0.18Fe0.03O6.93,46,cuprate
Er1Ba2Cu2.85Zn0.06Fe0.09O6.96,46,cuprate
Er1Ba2Cu2.88Co0.12O6.78,46,cuprate
Eu1Ba1.8Pr0.2Cu3O6.69,46,cuprate
Hg0.5Fe0.5Sr2Y0.6Ca0.4Cu2O6.7,46,cuprate
Na1Fe2Se2,46,iron-based
Nd1Fe1As1O0.84F0.16,46,iron-based
Nd1Fe1As1O0.7F0.3,46,iron-based
Sm0.8U0.2Fe1As1O1,46,iron-based
Sr2Cu1F2.33O2,46,cuprate
Y0.7Pr0.3Ba2Cu3O6.65,46,cuprate
Y0.8Pr0.2Ba2Cu3.975Fe0.025O8,46,cuprate
Y1Ba2Cu0.95Zn0.05O7.95,46,cuprate
Y1Ba2Cu2.7Ni0.3O6.9,46,cuprate
Y1Ba2Cu2.82Co0.18O7,46,cuprate
Y1Sr2Cu2.65Fe0.35O7.1,46,cuprate
Y2La0.8Ba3.2Cu6O14.2,46,cuprate
Yb0.6Pr0.4Ba1.7Sr0.3Cu3O6.93,46,cuprate
Ca0.1Ba1.65La1.25Cu3O7.08,45.9,cuprate
Gd1H0.3Fe1As1O0.7,45.9,iron-based
Ce1H0.6Fe1As1O0.6,45.8,iron-based
Er0.6Pr0.4Ba2Cu3O7,45.8,cuprate
Nd0.95Pr0.05Ba2Cu3O6.75,45.8,cuprate
Sm1Fe0.99Ni0.01As1O0.88F0.12,45.7,iron-based
Ce1H0.2Fe1As1O0.8,45.6,iron-based
La1.25Ca0.15Ba1.6Cu3O7.052,45.6,cuprate
C0.5Sr2.01Ca0.44Y0.55Cu2.44O6.94,45.5,cuprate
La0.109Ca0.891Fe2As2,45.4,iron-based
Y1Ba2Cu3O6.51,45.4,cuprate
Pr0.142Ca0.858Fe2As2,45.3,iron-based
Tl2Ba2Cu1O6.19,45.3,cuprate
Fe0.5Ba1Sr1Ho1Cu2.5O7.462,45.2,cuprate
La1.3Ba1.3Sr0.4Cu3O6.928,45.2,cuprate
La1.85Sr0.15Cu1O4,45.2,cuprate
La2Cu1O4.086,45.2,cuprate
Y0.8Pr0.2Ba2Cu3O6.85,45.2,cuprate
Y1Fe1As1O0.85,45.2,iron-based
La1.2Ba1.3Sr0.5Cu3O6.943,45.1,cuprate
Y0.6Pr0.4Ba2Cu3O6.929,45.05,cuprate
Bi1.6Pb0.4Sr2Cu3Ca2O10.04,45,cuprate
Bi2Ca2.5Pr0.5Cu2O8.53,45,cuprate
Dy1Fe1As1O0.9F0.1,45,iron-based
Gd4Fe2As2O3.2Te0.92F0.8,45,iron-based
Hg0.8W0.2Ba2Cu1O4.4,45,cuprate
La0.65Ca0.15Pr0.2Ba1.5Sr0.5Cu3O6.84,45,cuprate
La1.3Ba1.5Ca0.2Cu3O6.92,45,cuprate
La1Ba1Ca1Cu2.9Ni0.1O6.85,45,cuprate
La1Ba2Cu2.9O6.8,45,cuprate
La1Ba2Cu2.9O6.82,45,cuprate
La2Cu1O4.075,45,cuprate
La2Cu1O4.093,45,cuprate
Lu0.7Ca0.3Ba2Cu3O6.88,45,cuprate
Nd1.2Ba1.6Sr0.2Cu3O6.885,45,cuprate
Pr1Fe1As1O0.89F0.11,45,iron-based
Ru1Sr2Gd1.4Ce0.6Cu2O10,45,cuprate
Sm0.8Ca0.2Ba2Cu2.8Zn0.2O6.87,45,cuprate
Sm1Fe1As1O0.82F0.18,45,iron-based
Sm1H0.43Fe1As1O0.57,45,iron-based
Tb0.9Th0.1Fe1As1O1,45,iron-based
Tl1Sr1.8Ca0.2Yb1Cu2O7,45,cuprate
Y0.6Pr0.4Ba1.4Sr0.6Cu3O6.83,45,cuprate
Y0.84Sr2.16Cu2.78S0.22O7,45,cuprate
Y0.8Ca0.2Sr1Ba1Cu2.8B0.2O7,45,cuprate
Y1Ba2Cu2.7Zn0.3O6.74,45,cuprate
Y1Ba2Cu2.865Al0.135O7,45,cuprate
Y1Ba2Cu2.87Al0.13O7,45,cuprate
Y1Ba2Cu2.8Ni0.2O6.82,45,cuprate
Y1Ba2Cu2.8Zn0.2O6.79,45,cuprate
Y1Ba2Cu2.91Zn0.09O6.83,45,cuprate
Y1Ba2Cu3F1.11O6,45,cuprate
Y1Ba2Cu3O6.46,45,cuprate
Y1Sr2Cu2.8W0.2O6.9,45,cuprate
Y2Tl2Sr2Cu3O11,45,cuprate
Sm1Ba2Cu3O6.73,44.95,cuprate
Ce1H0.3Fe1As1O0.7,44.9,iron-based
Sm1Ba2Cu3O6.554,44.7,cuprate
Y0.74Ca0.26Ba2Cu3O6,44.7,cuprate
Gd1Ba1.8Pr0.2Cu3O7.01,44.5,cuprate
Y0.65Pr0.35Ba2Cu3O7.01,44.5,cuprate
Sm1Fe1As1O0.85F0.15,44.488889,iron-based
Pr1Fe1As1O0.896,44.4,iron-based
Tb1Fe1As1O0.85,44.4,iron-based
Sr2Cu1F2O2,44.333333,cuprate
Y1Ba1.8La0.2Cu3O6.7,44.3,cuprate
Y1Ba2Cu3.925Fe0.075O8,44.2,cuprate
Y0.6Pr0.4Ba2Cu3O6.98,44.1,cuprate
Y0.9Pr0.1Ba2Cu3O6.6,44.1,cuprate
Y1Ba1.54La0.46Cu3O7.118,44.1,cuprate
Bi0.1Pb0.4La1.2Sr1.3Cu2O5.78,44,cuprate
La0.143Ca0.857Fe2As2,44,iron-based
Ca1La1Ba1Cu2.94Fe0.06O7,44,cuprate
Ce0.62Gd0.38Fe1As1O0.825F0.175,44,iron-based
Dy0.9Ce0.1Ba2Cu4O8,44,cuprate
Dy1Ba2Cu2.9Zn0.1O6.96,44,cuprate
Er1Ba2Cu2.79Zn0.03Fe0.18O6.97,44,cuprate
La0.9Pr0.1Ba1.5Sr0.5Cu3O6.904,44,cuprate
Li1Fe2Se2,44,iron-based
Nd2Tl2Sr2Cu3O11,44,cuprate
Pr1Fe1As1O0.6,44,iron-based
Ru1Sr2Eu1.4Ce0.6Cu2O10,44,cuprate
Sr0.9Sm0.1Cu1O2,44,cuprate
Y0.6Pr0.4Ba1.6Sr0.4Cu3O6.87,44,cuprate
Y0.8Ca0.2Ba2Cu2.8Zn0.2O6.74,44,cuprate
Y1Ba1.8La0.2Cu4O8,44,cuprate
Y1Ba2Cu2.94Zn0.06O6.77,44,cuprate
Y1Ba2Cu2.9Ni0.1O6.77,44,cuprate
Y1Sr2Cu2.7Re0.3O7.2,44,cuprate
Ca0.4Ba1.15La1.45Cu3O7.21,43.9,cuprate
Y1Ba2Cu2.8Fe0.2O6.8,43.9,cuprate
La1.3Ba1.5Sr0.2Cu3O6.901,43.8,cuprate
Tb1Fe1As1O0.82,43.8,iron-based
Y1Ba2Cu3H0.53O6.54,43.8,cuprate
Sm1.28Ba1.72Cu3O7.03,43.6,cuprate
Y0.85Ca0.15Sr1Ba1Cu2.5B0.5O7,43.6,cuprate
Ce1Fe1As1O0.88F0.12,43.5,iron-based
Fe1Sr2Y1Cu2O7.66,43.5,cuprate
La2Cu1O4.11,43.5,cuprate
Nd1.2Ba1.8Cu3O7.1,43.5,cuprate
Pr1Fe1As1O0.9F0.1,43.5,iron-based
Sr0.9Gd0.1Cu1O2,43.5,cuprate
Y0.8Ca0.2Ba2Cu3O6.03,43.5,cuprate
Y1Ba2Cu2.95Fe0.05O6.69,43.5,cuprate
Y1Ba2Cu2.9Zn0.1O6.99,43.5,cuprate
Sm1H0.066Fe1As1O0.934,43.3,iron-based
Ba1.4Sr0.6Yb1Cu3O6.66,43.1,cuprate
Y1Ba2Cu2.94Ni0.06O6.64,43.1,cuprate
Y1Sr2Cu2.85Re0.15O6.95,43.1,cuprate
Bi1.6Sr0.4Yb0.65Ca0.35Cu3O6.075,43,cuprate
Bi1.8Pb0.2Sr2Ca1Cu1.92Co0.08O8,43,cuprate
Ce0.24Ca0.76Fe1As1.8Sb0.2,43,iron-based
Pr0.24Ca0.76Fe1As0.9Sb0.1,43,iron-based
Nd0.16Ca0.84Fe1As0.9Sb0.1,43,iron-based
La0.15Ca0.85Fe1As1.98Sb0.02,43,iron-based
Ce1D0.4Fe1As1O0.6,43,iron-based
Er1Ba2Cu2.73Zn0.24Fe0.03O6.92,43,cuprate
Eu1Ba2Cu2.85Ga0.15O6.76,43,cuprate
Gd0.9Ca0.1Ba1Sr1Cu3O6.8754,43,cuprate
La1.35Ba1.5Ca0.15Cu3O6.67,43,cuprate
La1.9Sr0.1Ca1Cu2O6.03,43,cuprate
La2Cu1O4.12,43,cuprate
Nd0.8Th0.2Fe1As1O1,43,iron-based
Pr2Tl2Sr2Cu3O11,43,cuprate
Ru0.8Sr2Y1Cu2.2O7.8,43,cuprate
Sr0.92Sm0.08Cu1O2,43,cuprate
Tl1Sr1.8Cr0.2Cu1O5,43,cuprate
Tl1Sr2Ca1Cu2O6.58,43,cuprate
Tl1Sr2Ca1Cu2O6.74,43,cuprate
Y0.85Ca0.15Ba2Cu2.85Zn0.15O6.85,43,cuprate
Y0.8Ca0.2Ba2Cu2.8Zn0.2O6.73,43,cuprate
Y0.8Zn0.2Ba2Cu3O7,43,cuprate
Y0.9Ca0.1Ba1.6La6Cu3O7.18,43,cuprate
Y1Ba1.8Cu2.8Co0.2O6.95,43,cuprate
Y1Sr2Cu2.65Mo0.35O7.4,43,cuprate
Y1Sr2Cu2.7Fe0.3O6.9,43,cuprate
Y1Sr2Cu2.8Re0.2O6.9,43,cuprate
Y1Ba2Cu2.961Zn0.039O6.78,42.9,cuprate
Li1Fe3O2Se2,42.8,iron-based
Ce1Fe1As1O0.85,42.6,iron-based
Ca4Mg0.75Ti2.25Fe2As2O7.5,42.5,iron-based
Sr0.9La0.1Cu1O1.96,42.5,cuprate
Y1Ba2Cu2.97Zn0.03O6.63,42.5,cuprate
Sr0.88La0.12Cu1O1.97,42.4,cuprate
Sr0.95La0.05Cu1O2.01,42.4,cuprate
Bi2Sr2Ca0.6Pr0.4Cu2O8,42.2,cuprate
Sm0.9Pr0.1Ba2Cu3O6.85,42.2,cuprate
Bi2Sr2Ca1Cu2O8.428,42.1,cuprate
Y1Ba2Cu3H0.64O6.54,42.05,cuprate
Er1Ba2Cu2.79Zn0.12Fe0.09O6.95,42,cuprate
Eu0.5Sr0.5Ba1.6Pr0.1Cu3O7.07,42,cuprate
Eu1.2Ba1.8Cu3O7.18,42,cuprate
Ga0.8Sr2Y0.6Ca0.4Cu2.2O7,42,cuprate
Gd1.2Ba1.8Cu3O7.03,42,cuprate
La2.77Ca0.46Ba2.77Cu6O14.246,42,cuprate
La2Cu1O4.022,42,cuprate
Li0.84H1Fe1.14O1Se1,42,iron-based
Pb1Sr0.8Ba1.2Y0.7Ca0.3Cu3O8.41,42,cuprate
Sm0.9Ca0.1Ba2Cu2.8Zn0.2O6.85,42,cuprate
Sm1Fe1As1O0.91F0.09,42,iron-based
Sr0.9La0.1Cu0.99Zn0.01O2,42,cuprate
Y0.75Ca0.25Ba2Cu2.75Zn0.25O6.76,42,cuprate
Y1Ba2Cu2.6Al0.4O7,42,cuprate
Yb0.8Fe2Se2,42,iron-based
Ca0.1Ba1.65La1.25Cu3O7.06,41.9,cuprate
Y1La1.8Ba3.2Cu6O14.49,41.9,cuprate
Nd0.077Ca0.923Fe2As2,41.8,iron-based
Y0.9Ca0.1Ba2Cu3O6.4,41.8,cuprate
Y1Ba2Cu3.92Mn0.08O8,41.6,cuprate
La1Ba1Sr1Cu3O7.01,41.5,cuprate
Sr0.9Pr0.1Cu1O2,41.5,cuprate
Y0.8Pr0.2Ba2Cu3O6.75,41.5,cuprate
Sr0.9La0.1Cu1O2,41.45,cuprate
Sc0.012Mg0.988B2,41.4,others
Ca0.5Nd0.5Ba1La1Cu3O7.17,41.4,cuprate
Nb0.6Ru0.6Sr2Eu1.5Ce0.5Cu2O10,41.4,cuprate
Bi1.7Pb0.3Sr2Ca0.55Y0.45Cu1.94Zn0.06O8,41.3,cuprate
Bi1.7Pb0.3Sr2Ca0.5Y0.5Cu2O8,41.3,cuprate
Nd0.85Pr0.15Ba2Cu3O6.85,41.3,cuprate
Y1Ba2Cu2.85Ni0.15O6.78,41.3,cuprate
La0.165Ca0.835Fe2As2,41.2,iron-based
Dy0.6Pr0.4Ba2Cu3O6.9,41.2,cuprate
Y2Ba4Cu7O14.6,41.2,cuprate
C0.48Sr2Ca0.4Y0.6Cu2.46O6.97,41.1,cuprate
Ca0.2Ba1.55La1.25Cu3O7.05,41.1,cuprate
Ce1H0.065Fe1As1O0.935,41.1,iron-based
Y1Ba2Cu2.94Zn0.06O6.76,41.1,cuprate
Ba1.6Sr0.4Yb0.7Ca0.3Cu3O6,41,cuprate
Bi1.5Ga0.5Sr1.8Ca1.2Cu2O8,41,cuprate
Bi1.6Pb0.4Sr4Cu2C1O11,41,cuprate
La0.16Ca0.84Fe1P0.01As1.99,41,iron-based
Ca1.8Cu1Cl2O2,41,cuprate
Cu5C0.5Sr2Ca1O10.8,41,cuprate
Eu0.7Pr0.3Ba2Cu3O6.66,41,cuprate
Ga0.9Sr2Y0.6Ca0.4Cu2.1O7,41,cuprate
Gd1Ba2Cu2.7Fe0.3O6.9,41,cuprate
Gd1Ba2Cu2.82Fe0.18O6.91,41,cuprate
La1.8K0.2Cu1O4,41,cuprate
La2.5Y0.5Ca1Ba3Cu6.16Fe0.84O16.634,41,cuprate
Lu0.8Ca0.2Ba2Cu3O6.13,41,cuprate
Nd1.2Ba1.4Sr0.4Cu3O6.789,41,cuprate
Nd1.4Pr0.6Ba4Cu7O14.541,41,cuprate
Sm1Ru0.05Fe0.95As1O0.85F0.15,41,iron-based
Y0.6Ca0.4Sr2Cu2Ga1O7,41,cuprate
Y0.7Ca0.3Sr1.5Ba0.5Cu2.8Cr0.2O7,41,cuprate
Y1Ba2Cu2.97Li0.03O6.6,41,cuprate
Y1Ba2Cu2.97Zn0.03O6.68,41,cuprate
Yb0.55Pr0.45Ba1.7Sr0.3Cu3O6.88,41,cuprate
Y1Ba1Sr1Cu2.75Sn0.25O7.16,40.9,cuprate
Y1Ba1Sr1Cu2.75Sn0.25O7.163,40.9,cuprate
Ce1Fe1As1O0.84F0.16,40.85,iron-based
Nd0.85Pr0.15Ba2Cu3O7,40.7,cuprate
La0.2Ca0.8H1Fe1As1,40.6,iron-based
Y0.8Ca0.2Ba2Cu3O6.3,40.6,cuprate
La1Ba2Cu2.95Co0.05O6.94,40.5,cuprate
Li0.8H1Fe1.2O1Se1,40.45,iron-based
Ce1Fe1As1O0.8F0.2,40.4,iron-based
La2Cu1O4.07,40.4,cuprate
Ru0.97Ti0.03Sr2Gd1Cu2O8,40.3,cuprate
Ce1H0.4Fe1As1O0.6,40.2,iron-based
Ce1Fe1As1O0.7,40.2,iron-based
Y0.5La0.5Fe1As1O0.85F0.15,40.2,iron-based
Ca0.4Ba1.25La1.25Cu3O6.98,40.1,cuprate
Lu0.5Pr0.5Ba2Cu3O6.75,40.1,cuprate
Nd1Fe0.98Co0.02As1O0.89F0.11,40.1,iron-based
Sm1Fe1As1O0.8,40.1,iron-based
Y1Ba2Cu2.94Ni0.06O6.6,40.1,cuprate
Ba2Ca1Cu2F2.2O3.8,40,cuprate
Bi2Sr2Ca0.5Y0.5Cu2O8.33,40,cuprate
C0.47Sr2Ca0.35Y0.65Cu2.48O6.96,40,cuprate
Ca0.5Fe2Se2,40,iron-based
La0.2Ca0.8Fe2As2,40,iron-based
Pr0.098Ca0.902Fe2As2,40,iron-based
Ca8Mg1.5Ti4.5Fe2As2O9.5,40,iron-based
Eu0.6Pr0.4Ba2Cu4O8,40,cuprate
Eu1.4Ce0.6Ru1Sr2Cu2O10,40,cuprate
Eu1Fe2Se2,40,iron-based
Fe0.5Ba1Sr1Tm1Cu2.5O7.432,40,cuprate
Ga1Sr2Tm0.7Ca0.3Cu2O7,40,cuprate
Gd1Ba2Cu2.73Fe0.27O6.98,40,cuprate
Hg0.75Mo0.25Ba2Cu1O4.51,40,cuprate
La0.7Ca0.1Pr0.2Ba1.5Sr0.5Cu3O6.862,40,cuprate
La0.7Pr0.3Ca1Ba1Cu3O7,40,cuprate
La1.25Ba1.75Cu3O7.07,40,cuprate
La1.4Ba1.5Ca0.1Cu3O6.943,40,cuprate
La1.5Ba1.1Ca0.4Cu3O6.969,40,cuprate
La1.82Ca1.16Y0.02Cu2O6,40,cuprate
La1.85Sr0.15Cu1O4.022,40,cuprate
La1.85Sr0.15Cu1O4.03,40,cuprate
La1.8Er0.2Ba2Ca0.4Cu4.4O10.371,40,cuprate
La1.96Sr0.04Cu1O4.05,40,cuprate
La1.98Sr0.02Cu1O4.09,40,cuprate
La1.99Sr0.01Cu1O4.13,40,cuprate
La1.9Sr0.1Cu1O4.018,40,cuprate
La1.9Sr0.1Cu1O4.023,40,cuprate
La1Ba1.5Ca0.5Cu3O6.79,40,cuprate
La1Ba1Cu2.88Co0.12O7,40,cuprate
La1Fe1As1O0.4F0.6,40,iron-based
La2Cu0.955V0.045O4.056,40,cuprate
La2Cu0.965V0.035O4.045,40,cuprate
La2Cu0.975V0.025O4.032,40,cuprate
La2Cu0.985V0.015O4.021,40,cuprate
Nd1.2Ba1.4Ca0.4Cu3O6.888,40,cuprate
Pb0.8Sr1Ba1.2Y0.7Ca0.3Cu3O7.59,40,cuprate
Sm4Fe2As2O2.8Te0.72F1.2,40,iron-based
Sr0.84Nd0.16Cu1O2.01,40,cuprate
Sr2Ca4Cu5F2O10.57,40,cuprate
Sr2V1Fe1As1O2.9,40,iron-based
Tl0.5Pb0.5Sr2Eu1.8Ce0.2Cu2O9,40,cuprate
Tl1Ba2Ca0.5Nd0.5Cu2O6.86,40,cuprate
Tl1Sr2Ca1Cu2O6.825,40,cuprate
Tl2Ba2Cu1O6.056,40,cuprate
Y0.6Pr0.4Ba2Cu3O6.97,40,cuprate
Y1Sr2Cu2.8Mo0.2O7,40,cuprate
Y1Ba2Cu2.97Zn0.03O6.67,39.8,cuprate
Sm0.8Pr0.2Ba2Cu3O6.95,39.65,cuprate
Gd0.7Pr0.3Ba2Cu3O7,39.6,cuprate
Y1Ba2Cu3.94Zn0.06O8,39.6,cuprate
Eu1.3Ba1.7Cu3O7.15,39.5,cuprate
La1.828Sr0.172Cu1O4,39.35,cuprate
Y0.5La0.5Fe1As1O0.6,39.3,iron-based
La1.847Sr0.153Cu1O4,39.25,cuprate
Gd1Ba1.75Pr0.25Cu3O7.06,39.2,cuprate
Y1Ba2Cu2.85Zn0.15O6.95,39.2,cuprate
Y0.8Pr0.2Sr2Cu2.85Re0.15O7,39.1,cuprate
Ba0.63K0.37Fe2As2,39,iron-based
Ba0.64K0.34Fe2As2,39,iron-based
Ba0.8Fe2Se2,39,iron-based
La0.18Ca0.82Fe1P0.01As1.99,39,iron-based
Dy1Ba2Cu2.7Ga0.3O6.77,39,cuprate
Ca5Mg0.8Ti3.2Fe2As2O9.8,39,iron-based
La1.85Sr0.15Cu1O4.05,39,cuprate
La1.8Gd0.2Ba2Ca0.4Cu4.4O10.344,39,cuprate
La1.97Sr0.03Cu1O4.06,39,cuprate
La2.4Ba3.6Cu6O14.01,39,cuprate
Mg0.7Be0.3B2,39,others
Sc0.02Mg0.98B2,39,others
Mg1B2,39,others
Ru1Sr1.6Ba0.4Gd1Cu2O8,39,cuprate
Sr0.85Pr0.15Cu1O2,39,cuprate
Y1Ba2Cu2.85Zn0.15O6.97,39,cuprate
Bi1.8Pb0.2Sr2Ca1Cu1.88Co0.12O8,38.8,cuprate
Eu0.7Pr0.3Ba2Cu3O6.95,38.8,cuprate
Y0.4La0.6Fe1As1O0.6,38.8,iron-based
La1.25Ca0.1Ba1.65Cu3O7.06,38.8,cuprate
Nd1Ru0.1Fe0.9As1O0.89F0.11,38.7,iron-based
Pb0.5Cu1Sr0.8La1.2O5.01,38.7,cuprate
Y1Ba2Cu2.97Zn0.03O6.59,38.7,cuprate
Yb0.5Pr0.5Ba2Cu3O6.67,38.7,cuprate
La1.25Ca0.05Ba1.7Cu3O7.03,38.6,cuprate
Li0.8H1Fe1.2O1S0.16Se0.84,38.6,iron-based
Mg0.8Cu0.2B2,38.6,others
Mg0.99Ti0.01B2,38.6,others
Mg0.9Cu0.1B2,38.6,others
Sr0.75Y0.25Cu1O2,38.6,cuprate
Sr0.8Y0.2Cu1O2,38.6,cuprate
Sr0.95Y0.05Cu1O2,38.6,cuprate
Mg0.95Ti0.05B2,38.5,others
Mg0.95Zn0.025B2Al0.025,38.5,others
Mg0.9Zn0.05B2Al0.05,38.5,others
Mg1B1.9906C0.0094,38.5,others
Pb0.5Cu1Sr0.9La1.1O5.02,38.5,cuprate
Tl0.7La1Sr1Cu1O5,38.5,cuprate
Mg0.98B2,38.4,others
Mg0.8Zn0.2B2,38.4,others
Mg0.9Zn0.1B2,38.4,others
Sm1Ba2Cu3O6.75,38.4,cuprate
Mg0.95Zn0.05B2,38.3,others
Mg0.9Ti0.1B2,38.3,others
Mg1B1.92C0.08,38.3,others
Y1Ba1.5La0.5Cu3O7.19,38.3,cuprate
La1.86Sr0.14Cu0.99Li0.01O4,38.25,cuprate
Mg0.95Li0.05B2,38.25,others
Mg0.9B2,38.2,others
Mg0.95Li0.025B2Al0.025,38.2,others
Mg0.996Cu0.004B2,38.11,others
Mg0.989Cu0.011B2,38.05,others
Mg0.8B2,38,others
Ba0.5K0.5Fe2As2,38,iron-based
Ba0.65K0.35Fe2As2,38,iron-based
Ba0.663K0.337Fe2As2,38,iron-based
Ca0.1La1.25Ba1.65Cu3O7.06,38,cuprate
Ca0.4La1.25Ba1.35Cu3O6.99,38,cuprate
Pt4.8Ca10Fe8.2As18,38,iron-based
Pt4Ca10Fe10As18,38,iron-based
Ca2Cu1Cl2.4O2,38,cuprate
