,tc,family,cf,order
635645.cif,3.57,others,V2Ga5,order
635683.cif,3.85,others,Zr5Ga3,order
636535.cif,3.9475,others,Ge1,order
636767.cif,2.76,others,Y5Ir4Ge10,order
637137.cif,2.1792,others,Mo3Ge1,order
637142.cif,1.65,others,Mo5Ge3,order
637485.cif,8.946667,others,Y5Os4Ge10,order
637488.cif,3.9,others,Y3Os4Ge13,order
637671.cif,2.7,others,Re1Ge2,order
637728.cif,1.35,others,Y5Rh4Ge10,order
637839.cif,1.3,others,Sc1Ge2,order
637963.cif,2.3,others,Ta1Ge2,order
639074.cif,1.7,others,Hg3Li1,order
639082.cif,0.16,others,Hg1Mg3,order
640011.cif,1.5,others,Mo15In2Se19,order
640030.cif,7.3,others,Ti2In1N1,order
640823.cif,8.031,others,Ir1Mo3,order
640832.cif,1.4075,others,Ir1Nb3,order
640973.cif,1.55,others,Sc1Ir2,order
640980.cif,8.311429,others,Sc5Ir4Si10,order
641017.cif,1.675,others,Ir1Ti1Si1,order
641029.cif,3.005,others,Y2Ir3Si5,order
641033.cif,2.906667,others,Y5Ir4Si10,order
641036.cif,1.949167,others,Y1Ir2Si2,order
641044.cif,2.04,others,Ir1Zr1Si1,order
641054.cif,0.715,others,Ir1Sn2,order
641056.cif,5.016667,others,Ir4Sr3Sn13,order
641065.cif,5.7,others,Ir2Sr1,order
641110.cif,5.185,others,Ir1Ti3,order
641179.cif,1.61,others,Y3Ir2,order
641184.cif,3.5,others,Y1Ir3,order
641204.cif,7.365,others,Ir1Zr2,order
641257.cif,2.1,others,K2Mo15Se19,order
641457.cif,6.73,others,La1Mo6S8,order
641461.cif,11.233333,others,La1Mo6Se8,order
641824.cif,0.84,others,La1S1,order
641938.cif,8.326,others,La3Se4,order
642022.cif,1.48,others,La1Te1,order
642029.cif,4.0275,others,La3Te4,order
642164.cif,2.6,others,Li2Mo15Se19,order
642439.cif,2.2,others,Lu1Mo6S8,order
644106.cif,12.45,others,Pb1Mo6S8,order
644122.cif,3.77,others,Pb1Mo6Se8,order
644289.cif,12.6,others,Mo6Sn1S8,order
644389.cif,6.38,others,Y1Mo6Se8,order
644398.cif,1.402,others,Mo3Si1,order
644485.cif,5.84,others,Tl1Mo3Te3,order
644511.cif,2.743,others,Zr1Mo2,order
645115.cif,3.15,others,Nb1Ni2Sn1,order
645173.cif,4.25,others,Nb1Rh1P1,order
645227.cif,9.516429,others,Pt1Nb3,order
645269.cif,2.742333,others,Nb3Rh1,order
645349.cif,1.1,others,Nb3Sb1,order
645351.cif,8.6,others,Nb5Sb4,order
645437.cif,0.345,others,Nb5Si3,order
645473.cif,17.846,others,Nb3Sn1,order
645476.cif,2.435,others,Nb6Sn5,order
645495.cif,2.64,others,Nb1Sn2,order
645534.cif,1.746667,others,Nb3Te4,order
646550.cif,3.7,others,Tl1Ni2Se2,order
647804.cif,1.1,others,Y1Os2Si2,order
647807.cif,1.72,others,Os1Zr1Si1,order
647841.cif,0.46,others,Os1Ti1,order
647876.cif,2.95,others,Os2Zr1,order
647919.cif,0.85,others,Pd7P3,order
647921.cif,0.35,others,Pd3P1,order
648003.cif,4.635,others,Ta1Rh1P1,order
648009.cif,1.525,others,Zr1Rh1P1,order
648037.cif,8.496154,others,Zr1Ru1P1,order
648282.cif,2.76,others,W3P1,order
648318.cif,4.5,others,Zr3P1,order
648397.cif,2.8,others,Pt1Pb4,order
648834.cif,1.1,others,Pd17Se15,order
649057.cif,1.32,others,Tl2Pd1,order
649092.cif,0.081,others,Pd1V3,order
649556.cif,2.1,others,Pt1Sb1,order
649603.cif,0.88,others,Pt1Si1,order
649646.cif,1.57,others,Y1Pt2Si2,order
649774.cif,0.58,others,Pt1Ti3,order
649780.cif,1.58,others,Pt1Tl2,order
649849.cif,2.835,others,Y1Pt2,order
649860.cif,0.82,others,Y7Pt3,order
650085.cif,1.71,others,Sc1Re2,order
650136.cif,1.76,others,Y2Re3Si5,order
650205.cif,3.875,others,Re24Zr5,order
650212.cif,6.366667,others,Re2Zr1,order
650269.cif,8.405,others,Sc5Rh4Si10,order
650354.cif,1.4,others,Y1Rh2Si2,order
650389.cif,4.216667,others,Sr3Rh4Sn13,order
650413.cif,6.2,others,Sr1Rh2,order
65052.cif,0.53,others,Pd7Se2,order
650529.cif,0.65,others,Y3Rh1,order
65053.cif,2.66,others,Pd34Se11,order
650532.cif,1.07,others,Y1Rh3,order
650551.cif,7.65,others,Zr3Rh1,order
650601.cif,2.09,others,Sc1Ru2,order
650661.cif,1.1,others,Y1Ru2Si2,order
650662.cif,3.51,others,Y1Ru3Si2,order
650738.cif,1.07,others,Ru1Ti1,order
650786.cif,2.053333,others,Zr1Ru2,order
651405.cif,1.9,others,Y1S1,order
651601.cif,0.72,others,Ta3Sb1,order
651684.cif,5.611667,others,Ti3Sb1,order
651785.cif,1.5,others,Zr5Sb3,order
651832.cif,10.9,others,Sc1Tc2,order
651959.cif,2.1,others,Ta1Se3,order
652176.cif,3.25,others,Y1Se1,order
652301.cif,0.1725,others,Ta1Si2,order
652552.cif,2.84,others,W3Si2,order
652831.cif,4.4625,others,V3Sn1,order
653041.cif,7.6,others,Zr1Tc2,order
653336.cif,1.52,others,Y1Tl3,order
653749.cif,3.45,others,Cu1Al1,order
656306.cif,1.9,others,Zr5Sn3,order
65652.cif,2.75,others,Mo4P3,order
657339.cif,0.58,others,Rh1As1,order
658326.cif,0.37,others,Pt1Sn1,order
658854.cif,0.75,others,Y6Mo4Al43,order
659684.cif,3.3,others,Ru1Cr3,order
659960.cif,3.01,others,Pd1Te1,order
659992.cif,1.55,others,Sr1Si2,order
66771.cif,3.4,others,Sr3Rh8B6,order
670639.cif,4.75,others,Sr1Al1Si1,order
670654.cif,1.68,others,Y1Ga2,order
670698.cif,5.6,others,Ti1N1,order
670727.cif,0.71,others,Ti1Co1,order
670749.cif,9.85,others,Zr1N1,order
670941.cif,4.75,others,Bi2Cs1,order
671039.cif,0.650333,others,Os1,order
671042.cif,0.501,others,Ru1,order
671192.cif,8.593333,others,Mo1Ga4,order
671241.cif,22.6,others,Y1Pd2B2C1,order
671242.cif,10.5,others,Y1Pt2B2C1,order
671418.cif,3.35,others,Zr3Ni1,order
671673.cif,0.906667,others,Y1Pt1Bi1,order
671819.cif,4.5975,others,Nb1B2,order
672014.cif,6.91125,others,Mg1Ni3C1,order
672121.cif,0.39,others,Os1Al1,order
672132.cif,1.306667,others,Co1Si2,order
672137.cif,3.055,others,Mo1Ge2,order
672464.cif,6.666666667,others,Si1,order
672491.cif,1.0,others,Fe1,order
672546.cif,0.17,others,Zr2Fe1,order
672715.cif,1.27,others,Ca1Pd2As2,order
672758.cif,1.55,others,Cr1,order
672813.cif,0.795,others,Ta3Al1,order
672890.cif,4.28,others,Ta1Si1,order
673097.cif,2.25,others,Bi1Na1,order
673464.cif,2.925,others,Ga1N1,order
673848.cif,2.1,others,Ir2Ba1P2,order
673850.cif,1.0,others,Ba1Rh2P2,order
673853.cif,13.9,others,V3In1,order
673904.cif,4.2,others,Ge1P1,order
674033.cif,1.425,others,C1Si1,order
674044.cif,5.7,others,Ga1As1,order
674394.cif,2.89,others,La1Ni1C2,order
674395.cif,1.5975,others,Os1B2,order
674718.cif,3.835,others,W2C1,order
674882.cif,3.755,others,Sn1As1,order
674894.cif,0.8508,others,Zn1,order
675032.cif,10.2,others,Pt2Sr1Ge2,order
675364.cif,1.975,others,In1N1,order
67581.cif,1.585,others,Cu1S1,order
676068.cif,1.55,others,Al1N1,order
68028.cif,0.39,others,Sc1B12,order
68444.cif,0.066,others,Ag2F1,order
69004.cif,4.3,others,Mo15Se19,order
70020.cif,0.30475,others,K1C8,order
70062.cif,7.0,others,Ba6C60,order
71217.cif,4.38,others,Ta4Pd3Te16,order
73331.cif,2.7,others,W5Si3,order
74641.cif,0.135,others,Cs1C8,order
74704.cif,3.695,others,Ta1Pb1Se2,order
76162.cif,3.5375,others,Sr1,order
76293.cif,2.6,others,Y3Pt4Ge6,order
76344.cif,3.8,others,Y1Ge2,order
76559.cif,7.7,others,Nb4Ni1Si1,order
76560.cif,1.38,others,Nb1O1,order
76567.cif,3.81,others,Nb3S4,order
76622.cif,4.7,others,Ir1Ge1,order
76625.cif,0.4,others,Pt1Ge1,order
77109.cif,1.25,others,Pd1Sb2,order
77792.cif,1.315,others,Ru1Ti1P1,order
77805.cif,2.0,others,Sn1P1,order
77862.cif,0.61,others,Pa1,order
78871.cif,5.05,others,Y2C2Br2,order
78969.cif,4.5,others,Y2Al1Ge3,order
79574.cif,23.0,others,Y1Ni2B2C1,order
80091.cif,0.9,others,Ti1Se2,order
81745.cif,0.99,others,Y1Fe2Ge2,order
82072.cif,0.39,others,W14P4O50,order
82529.cif,3.9,others,Ba2Sn3Sb6,order
85406.cif,1.415,others,Sr1Ni2P2,order
85408.cif,2.686667,others,Ba1Ni2P2,order
86764.cif,2.308333,others,Zr1Te3,order
88075.cif,2.35,others,Y1Ge3,order
88210.cif,6.0,others,Zr1V1Ge1,order
90433.cif,1.24,others,Pt1Nb1Si1,order
90703.cif,1.475,others,Ba24Si100,order
92576.cif,0.24,others,Ba6Ge25,order
93906.cif,1.2,others,Pd1Sb1Te1,order
94194.cif,1.5,others,Sr2Ru1O4,order
96228.cif,0.6,others,Ca2In1N1,order
990.cif,0.6,others,Ru1Sb1,order
164065.cif,51.45,iron-based,Nd1Fe1As1O0.85,disorder
161279.cif,50.5,iron-based,Tb1Fe1As1O0.9F0.1,disorder
181533.cif,40.85,iron-based,Ce1Fe1As1O0.84F0.16,disorder
193980.cif,40.45,iron-based,Li0.8H1Fe1.2O1Se1,disorder
189035.cif,38.0,iron-based,Ba0.5K0.5Fe2As2,disorder
189034.cif,36.85,iron-based,Ba0.7K0.3Fe2As2,disorder
186445.cif,33.65,iron-based,Pt5.8Ca10Fe8.2As18,disorder
192306.cif,32.8,iron-based,Ba0.5Na0.5Fe2As2,disorder
193610.cif,30.25,iron-based,Ba1Fe2P0.7As1.3,disorder
193597.cif,30.1,iron-based,Ba1Fe2P0.48As1.52,disorder
192307.cif,28.7,iron-based,Ba0.4Na0.6Fe2As2,disorder
189277.cif,28.475,iron-based,Sr1Fe2P0.7As1.3,disorder
184646.cif,26.0,iron-based,La1Fe1As1O0.95F0.05,disorder
182331.cif,22.0,iron-based,Sr0.33Ca0.67Fe2As2,disorder
241438.cif,21.666667,iron-based,Eu1Ir0.28Fe1.72As2,disorder
261396.cif,16.0,iron-based,Sm1Ir0.15Fe0.85As1O1,disorder
191248.cif,15.0,iron-based,Fe1Se0.5Te0.5,disorder
167966.cif,14.8,iron-based,Fe1Se0.42Te0.58,disorder
248697.cif,13.7,iron-based,Sr1.8Ca0.2V1Fe1As1O3,disorder
169971.cif,13.3,iron-based,Fe1Se0.75Te0.25,disorder
169556.cif,7.1,iron-based,Ba1Ru0.76Fe1.24As2,disorder
180104.cif,6.0,iron-based,Sr4Mg1Ti1Fe2As2O6,disorder
162724.cif,5.458571,iron-based,La1Fe1P1O1,order
168586.cif,17.0,iron-based,Sc2Sr4Fe2P2O6,order
189036.cif,2.9965,iron-based,K1Fe2As2,order
242164.cif,1.983333,iron-based,Rb1Fe2As2,order
247248.cif,4.965,iron-based,Li1Fe1P1,order
252344.cif,35.0,iron-based,Ca1Rb1Fe4As4,order
263018.cif,20.125,iron-based,Ba2Ti2Fe2As4O1,order
290595.cif,11.0,iron-based,Ba1Fe2Se3,order
290700.cif,16.475,iron-based,Li1Fe1As1,order
74877.cif,2.08,iron-based,Cs1Fe2As2,order
80200.cif,3.586667,iron-based,Pr1Fe1P1O1,order
80202.cif,2.5,iron-based,Sm1Fe1P1O1,order
246434.cif,10.8,heavy-Fermion,Er0.8Lu0.2Ni2B2C1,disorder
640787.cif,7.915,heavy-Fermion,Sc2.5Lu2.5Ir4Si10,disorder
613771.cif,7.37,heavy-Fermion,Er1Ir2Rh2B4,disorder
130023.cif,6.9,heavy-Fermion,La5B2C6,disorder
263006.cif,6.78,heavy-Fermion,Lu1Si3,order
67406.cif,6.59,heavy-Fermion,Sc1Lu4Ir4Si10,disorder
641011.cif,6.5,heavy-Fermion,Th1Ir1Si1,disorder
603209.cif,6.2,heavy-Fermion,La3Sn1,order
614504.cif,6.14,heavy-Fermion,Ho1Ru0.6Rh3.4B4,disorder
168817.cif,4.95,heavy-Fermion,Np1Pd5Al2,order
613642.cif,4.64,heavy-Fermion,Dy1Ir2Rh2B4,disorder
104536.cif,4.41,heavy-Fermion,Th1Os0.6Ir1.4,disorder
183119.cif,4.15,heavy-Fermion,Ce1Bi2Ni0.8,disorder
192296.cif,3.833333,heavy-Fermion,La1Pt1Si1,disorder
82070.cif,3.74,heavy-Fermion,La6Zn1Sb15,disorder
103677.cif,3.88875,heavy-Fermion,U6Fe1,order
105697.cif,3.06,heavy-Fermion,Y0.25Tm0.75Pd2Sn1,disorder
616773.cif,2.5,heavy-Fermion,La4Pb2Bi1,disorder
616772.cif,2.3,heavy-Fermion,La4Pb1Bi2,disorder
641557.cif,2.285,heavy-Fermion,La1Pt0.5Ni0.5Si1,disorder
192249.cif,2.1,heavy-Fermion,La1Bi2Pd0.85,disorder
44425.cif,2.09,heavy-Fermion,Th1Ir3B2,order
57072.cif,1.976667,heavy-Fermion,La1Ge2,order
104695.cif,1.75,heavy-Fermion,La1Tl1.5Pb1.5,disorder
643172.cif,1.6,heavy-Fermion,U6Mn0.33Ni0.67,disorder
104725.cif,1.5,heavy-Fermion,La1Tl1.5Sn1.5,disorder
104556.cif,1.45,heavy-Fermion,Th1Ir1.2Ru0.8,disorder
51958.cif,1.19,heavy-Fermion,La1In1.5Sn1.5,disorder
104693.cif,1.18,heavy-Fermion,La1Pb1.5Sn1.5,disorder
108566.cif,1.03,heavy-Fermion,Th1In1.5Sn1.5,disorder
30838.cif,0.75,heavy-Fermion,La1Pd2P2,order
671258.cif,0.7,heavy-Fermion,La1In3,order
184388.cif,0.5995,heavy-Fermion,U1Co1Ge1,order
58535.cif,0.185,heavy-Fermion,Lu1Au1,order
641913.cif,0.13,heavy-Fermion,Y1La3Sb3,disorder
100785.cif,7.316,heavy-Fermion,La1Ru3Si2,order
102108.cif,2.037308,heavy-Fermion,Ce1Co1In5,order
102109.cif,0.4,heavy-Fermion,Ce2Co1In8,order
102811.cif,0.67,heavy-Fermion,Th2Zn1,order
103659.cif,2.25,heavy-Fermion,Lu1Ga3,order
103766.cif,0.575,heavy-Fermion,La1Ga2,order
104484.cif,0.24,heavy-Fermion,La1Ir2,order
104690.cif,7.575,heavy-Fermion,La1Os2,order
104709.cif,1.85,heavy-Fermion,La2Rh3Sn5,order
104735.cif,1.04,heavy-Fermion,La1Zn1,order
104817.cif,3.05,heavy-Fermion,Lu1Pd2Sn1,order
105406.cif,1.975,heavy-Fermion,Th7Ni3,order
105500.cif,0.85,heavy-Fermion,La1Pd2Al3,order
105632.cif,5.55,heavy-Fermion,Th1Pb3,order
105717.cif,0.75,heavy-Fermion,Th2Pd1,order
106009.cif,0.0725,heavy-Fermion,U1Ru3,order
106082.cif,3.33,heavy-Fermion,Th1Sn3,order
106159.cif,0.87,heavy-Fermion,Th1Tl3,order
106849.cif,0.216667,heavy-Fermion,Ce1Ni2Ge2,order
107019.cif,9.61,heavy-Fermion,La3In1,order
108323.cif,2.358,heavy-Fermion,U6Co1,order
110778.cif,1.652222,heavy-Fermion,Ce1Rh1In5,order
150225.cif,0.770429,heavy-Fermion,Ce1Ir1In5,order
150541.cif,0.44,heavy-Fermion,Th1Pt1,order
150740.cif,3.68,heavy-Fermion,Th1Ru2,order
150742.cif,6.11,heavy-Fermion,Th1Ir2,order
150819.cif,0.37,heavy-Fermion,Th1Ir1,order
153662.cif,4.425,heavy-Fermion,Lu2Ir3Si5,order
156997.cif,0.48,heavy-Fermion,La3Ni4Si4,order
156998.cif,2.065,heavy-Fermion,La3Pd4Si4,order
157584.cif,6.0,heavy-Fermion,Pr1Pt2B2C1,order
161758.cif,1.3,heavy-Fermion,Ce1Bi1Pd1,order
161868.cif,0.805,heavy-Fermion,Ce1Ir1Ge3,order
164574.cif,9.659,heavy-Fermion,Tm1Ni2B2C1,order
165970.cif,2.05,heavy-Fermion,La1B6,order
167533.cif,0.08,heavy-Fermion,Yb1B4Al1,order
170775.cif,1.05,heavy-Fermion,La1Mg2,order
172793.cif,2.425,heavy-Fermion,La3Co4Sn13,order
174552.cif,8.253333,heavy-Fermion,La1Pt4Ge12,order
174554.cif,7.876,heavy-Fermion,Pr1Pt4Ge12,order
174555.cif,0.7,heavy-Fermion,Nd1Pt4Ge12,order
183085.cif,0.80775,heavy-Fermion,La1Os4Sb12,order
189724.cif,1.3,heavy-Fermion,La1Pd2Sb2,order
189911.cif,4.71,heavy-Fermion,Th1Pt4Ge12,order
190485.cif,3.1,heavy-Fermion,La3Rh4Sn13,order
191970.cif,0.394,heavy-Fermion,La2Ni1Ge3,order
192620.cif,0.32,heavy-Fermion,Ce3Pt1In11,order
193321.cif,2.1,heavy-Fermion,Ce1Pt2In7,order
193887.cif,2.5,heavy-Fermion,La1Rh1P1,order
193890.cif,3.1,heavy-Fermion,La1Ir1As1,order
197493.cif,3.3,heavy-Fermion,Th1N1,order
197927.cif,1.17,heavy-Fermion,Er1Pd2Sn1,order
198006.cif,1.6,heavy-Fermion,La1Si2,order
198654.cif,2.051667,heavy-Fermion,Ce1Au2Si2,order
198657.cif,1.231538,heavy-Fermion,U1Ru2Si2,order
198663.cif,0.67,heavy-Fermion,Lu1Pd2Si2,order
198771.cif,1.1125,heavy-Fermion,Ce1Co2,order
230025.cif,1.9,heavy-Fermion,Lu1Pt2Si2,order
236258.cif,0.19,heavy-Fermion,Pr1Ti2Al20,order
236263.cif,0.029667,heavy-Fermion,Pr1V2Al20,order
236470.cif,1.175,heavy-Fermion,La1N1,order
236950.cif,7.0,heavy-Fermion,La1Ge5,order
236995.cif,0.55,heavy-Fermion,U1Ge2,order
242099.cif,0.435,heavy-Fermion,Lu1B12,order
246415.cif,2.493333,heavy-Fermion,La3Pd4Ge4,order
246810.cif,6.7,heavy-Fermion,La1Si10,order
24703.cif,0.37,heavy-Fermion,Th1B6,order
247662.cif,2.6,heavy-Fermion,La1Ni2P2,order
247832.cif,5.492222,heavy-Fermion,Lu2Fe3Si5,order
247864.cif,0.69,heavy-Fermion,Ce2Pd1In8,order
248481.cif,0.9,heavy-Fermion,La1Pt1Bi1,order
260033.cif,1.4,heavy-Fermion,La3Pd5Si1,order
261871.cif,5.4,heavy-Fermion,La2Sn5,order
26570.cif,2.41,heavy-Fermion,Th1Si1,order
38342.cif,1.473333,heavy-Fermion,La1Ir1Si3,order
391192.cif,13.0325,heavy-Fermion,La3Ni2B2N3,order
404168.cif,6.0,heavy-Fermion,La9B3C6Br5,order
40427.cif,4.4,heavy-Fermion,La2Rh3Si5,order
40795.cif,3.933333,heavy-Fermion,La1Ru2P2,order
414514.cif,5.3,heavy-Fermion,La1Ir1P1,order
415594.cif,1.916667,heavy-Fermion,La1Rh1Sn1,order
416423.cif,0.48,heavy-Fermion,La1Pt2Ge2,order
417472.cif,3.15,heavy-Fermion,La3Ru8B6,order
423134.cif,2.65,heavy-Fermion,La3Ru4Sn13,order
423290.cif,3.025,heavy-Fermion,La2Sb1,order
431419.cif,2.4,heavy-Fermion,La1Rh1Al1,order
44422.cif,1.65,heavy-Fermion,La1Ir3B2,order
44440.cif,2.0,heavy-Fermion,Lu1Ru4B4,order
44574.cif,1.79,heavy-Fermion,Th1Ru3B2,order
51969.cif,0.24,heavy-Fermion,Lu1In3,order
52898.cif,1.25,heavy-Fermion,Ce1Ru3Si2,order
53661.cif,0.37,heavy-Fermion,La3Ni4Ge4,order
53884.cif,1.1,heavy-Fermion,Th1Pd2Ge2,order
53895.cif,1.1,heavy-Fermion,Th1Rh2Ge2,order
56051.cif,0.99,heavy-Fermion,U5Ge3,order
56645.cif,0.05,heavy-Fermion,Ce1Ni2B2C1,order
56649.cif,5.033571,heavy-Fermion,Dy1Ni2B2C1,order
57248.cif,0.465,heavy-Fermion,Er2Fe3Si5,order
57486.cif,1.1,heavy-Fermion,U1Rh2Si2,order
58185.cif,0.75,heavy-Fermion,Th1Al3,order
58602.cif,3.365,heavy-Fermion,Th2Au1,order
58747.cif,0.917755,heavy-Fermion,U1Be13,order
601099.cif,2.6,heavy-Fermion,Lu1Ge2,order
601533.cif,0.7,heavy-Fermion,Ho1Rh4B4,order
601574.cif,5.323333,heavy-Fermion,Nd1Rh4B4,order
601577.cif,2.6475,heavy-Fermion,Sm1Rh4B4,order
601623.cif,0.39,heavy-Fermion,La1Pd2Si2,order
602887.cif,0.23,heavy-Fermion,Yb1Pb3,order
603036.cif,2.55,heavy-Fermion,La3Ir4Sn13,order
603067.cif,0.14,heavy-Fermion,Ce1Pt1Si2,order
603189.cif,4.226667,heavy-Fermion,La3Co1,order
603198.cif,5.82,heavy-Fermion,La3Ga1,order
603982.cif,1.1,heavy-Fermion,Th1Os2Si2,order
604343.cif,0.97,heavy-Fermion,La1Pd2As2,order
604422.cif,7.833333,heavy-Fermion,Yb3Rh4Sn13,order
604623.cif,1.658,heavy-Fermion,La1Rh2Si2,order
604624.cif,2.245,heavy-Fermion,La1Rh1Si3,order
605927.cif,2.225,heavy-Fermion,Th2Ag1,order
608265.cif,3.23,heavy-Fermion,La1Al2,order
608280.cif,5.986667,heavy-Fermion,La3Al1,order
609498.cif,0.045,heavy-Fermion,Th2Al1,order
609502.cif,2.6,heavy-Fermion,Th3Al2,order
609676.cif,0.94,heavy-Fermion,Yb1Al3,order
610771.cif,6.5,heavy-Fermion,La4As3,order
610776.cif,3.2,heavy-Fermion,La1Os4As12,order
610778.cif,10.3,heavy-Fermion,La1Ru4As12,order
611222.cif,2.3825,heavy-Fermion,Pr1Ru4As12,order
612635.cif,1.2,heavy-Fermion,Lu1B2C2,order
612852.cif,0.55,heavy-Fermion,Ce1Ru3B2,order
614648.cif,2.57,heavy-Fermion,La1Rh3B2,order
614694.cif,4.655,heavy-Fermion,Lu1Os3B2,order
614695.cif,2.66,heavy-Fermion,Lu1Os1B2,order
614703.cif,10.093625,heavy-Fermion,Lu1Rh4B4,order
614715.cif,10.054,heavy-Fermion,Lu1Ru1B2,order
614933.cif,3.0,heavy-Fermion,Nd1B6,order
615326.cif,4.448,heavy-Fermion,Th1Rh4B4,order
616759.cif,0.155,heavy-Fermion,La4Bi3,order
616760.cif,0.64,heavy-Fermion,La5Bi3,order
616761.cif,0.76,heavy-Fermion,La2Bi1,order
620734.cif,0.676667,heavy-Fermion,Ce1Co1Ge3,order
620856.cif,1.32,heavy-Fermion,Ce1Cu2Ge2,order
620930.cif,0.6497,heavy-Fermion,Ce1Cu2Si2,order
621363.cif,0.13,heavy-Fermion,Ce1In3,order
621428.cif,1.53,heavy-Fermion,Ce1Ir1Si3,order
621843.cif,0.421,heavy-Fermion,Ce1Pd2Si2,order
621952.cif,0.356667,heavy-Fermion,Ce1Rh2Si2,order
621955.cif,0.914,heavy-Fermion,Ce1Rh1Si3,order
621980.cif,5.998273,heavy-Fermion,Ce1Ru2,order
624053.cif,0.175,heavy-Fermion,Lu3Co1,order
625310.cif,2.5,heavy-Fermion,Yb3Co4Sn13,order
625427.cif,1.815,heavy-Fermion,Th7Co3,order
625521.cif,1.7,heavy-Fermion,U1Co1,order
628214.cif,0.021,heavy-Fermion,La1Cu6,order
629361.cif,0.2,heavy-Fermion,Th1Cu6,order
629373.cif,3.465,heavy-Fermion,Th2Cu1,order
629705.cif,2.95,heavy-Fermion,Dy1Ga6,order
633602.cif,1.3825,heavy-Fermion,Tm2Fe3Si5,order
633908.cif,2.016667,heavy-Fermion,Th7Fe3,order
634508.cif,1.97,heavy-Fermion,La1Ni1Ga2,order
635498.cif,2.5,heavy-Fermion,Tb1Ga6,order
636699.cif,1.5,heavy-Fermion,La1Ir2Ge2,order
636714.cif,2.55,heavy-Fermion,Lu5Ir4Ge10,order
636745.cif,1.51,heavy-Fermion,Th1Ir2Ge2,order
636754.cif,1.1,heavy-Fermion,U1Ir2Ge2,order
636821.cif,0.345,heavy-Fermion,La1Ni2Ge2,order
636837.cif,3.4,heavy-Fermion,La1Pt1Ge1,order
636927.cif,3.6,heavy-Fermion,Lu3Os4Ge13,order
636932.cif,2.3,heavy-Fermion,Lu3Rh4Ge13,order
636934.cif,2.79,heavy-Fermion,Lu5Rh4Ge10,order
636939.cif,2.3,heavy-Fermion,Lu3Ru4Ge13,order
637475.cif,1.1,heavy-Fermion,Th1Os2Ge2,order
637658.cif,1.1,heavy-Fermion,Th1Pt2Ge2,order
637720.cif,0.244,heavy-Fermion,U1Rh1Ge1,order
637761.cif,1.1,heavy-Fermion,Th1Ru2Ge2,order
640737.cif,2.33,heavy-Fermion,La7Ir3,order
640740.cif,2.13,heavy-Fermion,La1Ir5,order
640758.cif,2.3,heavy-Fermion,La1Ir1Si1,order
640764.cif,1.198333,heavy-Fermion,La1Ir2Si2,order
640781.cif,2.47,heavy-Fermion,Lu1Ir2,order
640790.cif,3.82,heavy-Fermion,Lu5Ir4Si10,order
641013.cif,2.215,heavy-Fermion,Th1Ir2Si2,order
641018.cif,0.95,heavy-Fermion,Tm5Ir4Si10,order
641026.cif,1.1,heavy-Fermion,U1Ir2Si2,order
641095.cif,3.93,heavy-Fermion,Th1Ir5,order
641096.cif,1.52,heavy-Fermion,Th7Ir3,order
641498.cif,3.6,heavy-Fermion,La3Ni1,order
641512.cif,2.1,heavy-Fermion,La7Ni3,order
641591.cif,0.59,heavy-Fermion,La1Ni1Sn1,order
641615.cif,0.9,heavy-Fermion,La1Os4P12,order
641633.cif,6.923333,heavy-Fermion,La1Ru4P12,order
641647.cif,4.086667,heavy-Fermion,La1Pb3,order
641650.cif,2.2,heavy-Fermion,La3Pb13Rh4,order
641661.cif,1.48,heavy-Fermion,La7Pd3,order
641702.cif,0.23,heavy-Fermion,La1Pt2,order
641715.cif,1.4325,heavy-Fermion,La1Pt2Si2,order
641749.cif,4.35,heavy-Fermion,La1Rh1Si1,order
641764.cif,4.875,heavy-Fermion,La3Ru1,order
641768.cif,1.835,heavy-Fermion,La7Ru3,order
641777.cif,3.7032,heavy-Fermion,La1Ru2,order
641780.cif,2.35,heavy-Fermion,La5Ru2,order
641783.cif,3.293333,heavy-Fermion,La1Ru4Sb12,order
641785.cif,3.5,heavy-Fermion,La1Ru2Si2,order
641899.cif,0.8,heavy-Fermion,La1Sb2,order
641905.cif,0.25,heavy-Fermion,La4Sb3,order
641991.cif,6.358286,heavy-Fermion,La1Sn3,order
642070.cif,1.566667,heavy-Fermion,La1Tl3,order
642071.cif,8.905,heavy-Fermion,La3Tl1,order
642481.cif,3.49,heavy-Fermion,Lu1Os2,order
642540.cif,1.7,heavy-Fermion,Lu1Re2,order
642550.cif,3.72,heavy-Fermion,Lu5Rh4Si10,order
642558.cif,1.545,heavy-Fermion,Lu1Ru2,order
642559.cif,2.4,heavy-Fermion,Lu1Ru2Si2,order
642618.cif,9.9,heavy-Fermion,Lu1Tc2,order
643855.cif,2.4525,heavy-Fermion,U6Mn1,order
646714.cif,1.6,heavy-Fermion,Sm1Ni1,order
647731.cif,1.60125,heavy-Fermion,Pr1Os4Sb12,order
647834.cif,1.51,heavy-Fermion,Th7Os3,order
647956.cif,1.8,heavy-Fermion,Pr1Ru4P12,order
648956.cif,2.39,heavy-Fermion,Yb1Pd2Sn1,order
649242.cif,0.945,heavy-Fermion,Pr1Ru4Sb12,order
649630.cif,1.1,heavy-Fermion,Th1Pt2Si2,order
649758.cif,0.49,heavy-Fermion,Th7Pt3,order
650166.cif,5.025,heavy-Fermion,Th1Re2,order
650332.cif,1.1,heavy-Fermion,Th1Rh2Si2,order
